productid	brand	RAM_GB	HDD_GB	GHz	price
238602	Microsoft	8	500	3	66900
239013	asus	4	1000	2.3	45900
239022	MSI	4	2000	2.3	45900
239026	Asus	4	1000	2.5	56900
239036	Toshiba	8	2000	3	74900
239043	Apple	16	1000	3.2	149900
239071	HP	4	500	2.3	42900
239258	Dell	8	2000	3.2	108900
239274	Microsoft	8	500	2.3	50900
239330	MSI	4	1000	2.3	45900
239545	hp	4	500	3.2	75900
239617	Microsoft	16	500	3	73900
239686	hp	8	500	2.5	55900
240127	DELL	4	2000	2.3	61900
240292	Dell	16	500	3	89900
240360	MSI	16	1000	3.2	83900
240434	Samsung	8	2000	2.3	61900
240469	MSI	8	2000	3.2	88900
240497	Lenovo	4	500	1.8	17900
240591	Asus	16	1000	3.2	82900
240591	Asus	16	1000	3.2	82900
241023	Dell	8	500	2.5	74900
241279	Lenovo	8	1000	2.5	44900
241306	Dell	16	2000	2.5	88900
242202	DELL	8	500	1.8	50900
242410	DELL	16	500	3.2	101900
242569	DELL	4	1000	2.5	71900
242642	Acer	4	1000	2.3	44900
242891	Dell	16	2000	1.8	67900
243004	Microsoft	16	500	3.2	85900
243238	HP	4	500	2.5	43900
243306	Samsung	16	1000	1.8	48900
244009	hp	4	1000	2.3	43900
244050	MSI	8	1000	3.2	83900
244112	Dell	16	1000	1.8	53900
244112	Dell	16	1000	1.8	53900
244234	Samsung	16	500	2.5	66900
244472	Lenovo	4	2000	3.2	61900
244506	hp	16	1000	3.2	80900
244711	hp	8	2000	2.5	68900
244720	asus	16	2000	2.5	67900
244926	Apple	16	2000	1.8	120900
245036	MSI	8	500	3	59900
245102	Asus	8	1000	3.2	74900
245458	Samsung	16	500	3.2	74900
245519	Microsoft	4	1000	2.3	43900
245809	HP	8	2000	3.2	85900
245847	Microsoft	4	2000	2.5	61900
245926	Asus	16	1000	3	69900
245931	Apple	16	500	2.5	127900
246079	Microsoft	4	500	1.8	39900
246310	Asus	4	1000	3	60900
246470	Samsung	8	2000	3	75900
246825	Acer	4	2000	2.5	52900
246911	hp	16	2000	2.3	58900
246975	Toshiba	4	500	3.2	73900
247018	Samsung	16	500	2.3	47900
247152	hp	4	1000	2.5	52900
247408	asus	16	500	1.8	48900
247559	hp	8	500	3.2	76900
247560	Toshiba	8	500	3	65900
247875	Toshiba	8	500	3.2	76900
247949	DELL	4	2000	2.5	76900
247961	DELL	4	1000	2.3	51900
248008	Asus	8	2000	2.3	53900
248283	hp	16	1000	1.8	49900
248415	Asus	16	1000	1.8	49900
248419	MSI	16	1000	2.3	58900
248664	Apple	4	1000	1.8	108900
248844	DELL	4	1000	2.5	65900
249125	Asus	4	1000	3.2	71900
249255	Samsung	8	1000	2.5	54900
249446	asus	8	1000	1.8	44900
249674	DELL	4	500	2.5	60900
249704	Microsoft	8	500	3.2	80900
249868	Microsoft	16	500	3	70900
249868	unknown	16	500	3	70900
249887	Dell	16	500	2.3	63900
250475	Toshiba	8	500	2.3	53900
250576	DELL	16	2000	2.3	79900
250762	Microsoft	4	1000	3	62900
250932	Microsoft	8	1000	1.8	44900
250958	Microsoft	8	2000	3.2	82900
251084	MSI	16	500	3.2	80900
251197	Samsung	4	1000	3.2	74900
251264	Dell	16	1000	1.8	54900
251376	DELL	16	500	2.5	75900
251541	MSI	4	1000	2.3	40900
251628	MSI	16	1000	3.2	86900
251684	Microsoft	16	1000	1.8	49900
251740	hp	16	2000	3	79900
251962	asus	8	2000	3	73900
251998	Dell	16	2000	2.5	88900
252462	hp	16	500	3	76900
253072	hp	8	1000	3.2	74900
253122	Toshiba	16	2000	1.8	54900
253355	Acer	4	2000	3.2	82900
253392	asus	16	1000	3	71900
253524	hp	16	500	1.8	47900
253564	Acer	4	500	3	62900
253580	asus	16	1000	3	76900
253925	DELL	4	1000	1.8	50900
254079	Apple	8	1000	2.3	119900
254267	asus	8	1000	3	64900
254468	MSI	16	500	2.3	58900
254501	Toshiba	16	1000	1.8	52900
254593	MSI	16	1000	2.3	56900
254702	hp	4	500	3.2	61900
254980	Lenovo	16	500	1.8	38900
255070	Samsung	16	1000	2.3	61900
255083	Asus	8	1000	2.3	57900
255223	Asus	4	500	1.8	30900
255348	HP	16	500	3	73900
255410	Samsung	4	1000	1.8	36900
255765	Toshiba	8	2000	3.2	83900
256018	DELL	8	2000	3	85900
256117	hp	16	500	2.5	63900
256190	hp	16	2000	3.2	95900
256589	Acer	8	500	3.2	70900
256729	Dell	16	2000	3.2	99900
256799	HP	8	1000	2.5	58900
256889	Apple	4	500	3.2	132900
257018	Toshiba	4	1000	2.5	52900
257392	Apple	4	500	2.3	110900
257405	hp	8	1000	3.2	75900
257456	Toshiba	8	500	3.2	80900
257776	Toshiba	8	2000	2.5	67900
257779	asus	8	500	2.3	49900
257823	hp	16	500	1.8	43900
258005	HP	8	500	3	64900
258097	Microsoft	8	500	2.3	52900
258322	HP	16	500	3.2	79900
258421	hp	16	2000	1.8	55900
259087	Samsung	4	2000	1.8	41900
259138	Acer	16	1000	3	86900
259316	Acer	8	500	3.2	71900
259526	DELL	16	1000	2.5	82900
259552	hp	4	1000	3.2	74900
259919	Asus	16	1000	3	73900
260056	hp	8	2000	2.3	49900
260090	Dell	16	500	3	84900
260217	HP	4	500	3.2	67900
260273	asus	8	1000	1.8	49900
260331	HP	8	1000	3	71900
260433	Microsoft	8	500	2.5	58900
260663	hp	16	2000	2.3	60900
261287	DELL	16	1000	3	85900
261296	Lenovo	8	500	2.5	43900
261409	asus	4	2000	1.8	38900
261517	Lenovo	8	500	3.2	57900
261651	hp	8	1000	2.3	45900
261710	hp	16	2000	3	78900
261777	Acer	4	2000	3	66900
261851	Toshiba	8	1000	1.8	44900
262042	Apple	8	1000	2.3	107900
262309	Microsoft	4	1000	2.3	45900
262640	Asus	8	2000	3	73900
262736	Asus	16	500	3.2	81900
262962	Acer	16	2000	2.3	57900
262998	Toshiba	16	2000	3.2	82900
262998	Toshiba	16	2000	3.2	82900
263068	Dell	16	2000	2.3	81900
263119	Dell	4	500	1.8	54900
263226	Apple	8	1000	3	134900
263344	Dell	16	1000	2.5	80900
263354	hp	8	2000	2.5	65900
263547	MSI	8	500	2.3	52900
263551	Apple	8	500	2.5	107900
263563	Lenovo	4	1000	3.2	60900
263564	Toshiba	8	500	2.5	60900
263924	hp	4	500	3	59900
263961	hp	8	500	1.8	46900
264012	Lenovo	16	1000	3.2	62900
264074	Samsung	8	2000	2.5	62900
264129	Asus	8	1000	1.8	41900
264330	MSI	8	1000	2.5	58900
264650	MSI	4	1000	3.2	74900
264871	hp	4	500	3.2	64900
265129	Asus	8	500	1.8	47900
265135	Acer	16	1000	2.5	62900
265224	Toshiba	16	1000	1.8	45900
265258	MSI	8	500	3.2	76900
265267	MSI	8	500	1.8	39900
265338	Microsoft	16	500	3	72900
265648	HP	4	500	1.8	41900
265691	Asus	8	1000	3	70900
265792	Apple	4	1000	3	125900
265936	Lenovo	16	2000	3.2	78900
266170	Samsung	8	2000	3.2	83900
266323	Toshiba	4	500	2.5	45900
266366	hp	4	2000	2.3	54900
266517	Samsung	4	500	3	63900
266805	HP	4	2000	3.2	75900
266856	DELL	4	500	1.8	49900
267069	hp	8	1000	1.8	42900
267459	MSI	8	2000	2.5	60900
267528	Acer	8	1000	3	69900
267664	Lenovo	8	2000	1.8	36900
267688	Acer	16	500	2.3	51900
267764	Dell	4	500	1.8	49900
267912	Apple	4	1000	1.8	102900
267976	Apple	16	2000	2.5	133900
268068	Apple	4	2000	2.5	123900
268085	hp	16	2000	2.3	63900
268102	Microsoft	4	2000	1.8	36900
268289	Dell	16	1000	3.2	105900
268321	Toshiba	8	2000	3	78900
268543	Lenovo	16	2000	3.2	72900
268700	hp	4	2000	2.3	54900
268820	hp	16	2000	1.8	58900
268943	MSI	4	2000	2.3	43900
268963	Acer	8	1000	3	68900
268973	MSI	4	500	2.5	44900
269008	hp	8	1000	2.5	61900
269014	HP	4	2000	2.5	54900
269389	Microsoft	8	500	2.3	43900
269579	MSI	8	1000	3.2	75900
269847	Asus	4	1000	3	63900
269928	MSI	16	2000	1.8	53900
270003	Lenovo	4	1000	3	46900
270399	hp	16	2000	3	82900
270689	HP	16	1000	3	73900
271320	Asus	4	500	1.8	34900
271413	Apple	4	1000	2.3	102900
271483	hp	4	1000	3	64900
271580	Apple	8	2000	1.8	115900
271910	Microsoft	8	2000	2.3	57900
271918	hp	4	500	2.5	48900
271934	Acer	4	1000	3	61900
272023	MSI	8	1000	2.5	65900
272443	Samsung	16	500	1.8	37900
272689	MSI	4	1000	3.2	70900
272947	HP	8	1000	1.8	42900
273168	asus	16	500	2.3	55900
273336	Toshiba	4	1000	3	57900
273510	Toshiba	8	1000	1.8	43900
273538	Apple	4	2000	2.5	123900
274165	Asus	4	1000	3	61900
274334	Samsung	16	2000	2.3	69900
274365	asus	4	500	2.5	42900
274472	Lenovo	16	2000	1.8	38900
274493	asus	8	1000	2.5	58900
274561	Dell	4	2000	2.5	73900
274585	Samsung	8	2000	3	75900
274954	Asus	16	2000	2.3	51900
275238	unknown	4	500	2.5	46900
275426	Toshiba	4	2000	2.3	49900
275437	hp	8	1000	1.8	43900
275690	DELL	16	1000	1.8	70900
275753	DELL	16	500	2.5	76900
275961	Lenovo	4	500	3	41900
276035	HP	16	2000	3.2	90900
276042	Dell	16	500	3.2	91900
276090	MSI	16	1000	1.8	46900
276169	Samsung	4	2000	3	64900
276251	DELL	8	1000	3.2	98900
276463	Toshiba	16	1000	1.8	50900
276492	asus	8	2000	2.3	56900
276585	Asus	8	500	2.5	56900
276615	Dell	16	2000	3.2	108900
276751	Apple	16	1000	2.3	124900
276854	hp	4	500	3.2	68900
276884	Toshiba	8	2000	3.2	87900
277279	asus	16	2000	2.5	70900
277312	Lenovo	8	500	2.3	31900
277397	unknown	8	2000	2.5	67900
278309	Lenovo	16	2000	2.3	46900
278563	hp	8	1000	2.3	52900
278601	Lenovo	8	2000	3.2	68900
278605	HP	8	1000	2.3	50900
278640	hp	4	1000	2.5	51900
278648	Apple	16	2000	3	145900
278672	Acer	16	1000	3.2	86900
278860	Toshiba	4	500	3.2	65900
278931	asus	8	2000	3	69900
278937	MSI	16	500	2.3	53900
278962	Samsung	8	2000	3.2	79900
279043	HP	16	2000	3.2	90900
279118	Microsoft	4	2000	1.8	50900
279664	Lenovo	4	1000	2.3	37900
279816	Lenovo	16	2000	2.3	38900
280201	Microsoft	16	1000	3	73900
280221	asus	8	500	3.2	75900
280282	HP	8	2000	2.3	59900
280298	Lenovo	16	500	2.3	35900
280415	DELL	8	1000	3	87900
280418	Acer	8	1000	2.3	55900
280490	MSI	8	500	3	63900
280524	Apple	4	2000	1.8	104900
280729	Acer	8	500	3.2	76900
280733	Lenovo	8	1000	3.2	67900
280753	HP	8	1000	1.8	42900
280921	Samsung	16	1000	1.8	52900
280940	Acer	4	1000	2.3	46900
281367	HP	4	2000	3.2	80900
281375	MSI	8	1000	3.2	76900
281514	Dell	8	2000	1.8	52900
281829	hp	4	1000	2.3	43900
282012	asus	8	1000	1.8	42900
282065	HP	16	1000	2.3	58900
282133	Microsoft	16	2000	1.8	55900
282481	Lenovo	16	2000	2.3	47900
282546	MSI	16	500	1.8	47900
282709	asus	4	1000	2.3	43900
282901	Lenovo	8	1000	3	52900
283585	HP	16	2000	2.5	72900
283599	Toshiba	16	500	3.2	82900
283702	HP	8	2000	3	76900
283887	DELL	4	2000	3	82900
284273	Dell	8	500	1.8	53900
284621	MSI	16	1000	3	73900
284694	Microsoft	8	500	3	69900
284776	Asus	8	1000	3	69900
284846	Toshiba	8	1000	3.2	69900
284906	Dell	4	1000	2.5	62900
284926	HP	16	1000	2.5	62900
285114	asus	4	2000	2.5	53900
285153	DELL	4	1000	2.3	55900
285190	Acer	16	1000	2.5	67900
285264	MSI	4	500	2.5	44900
286257	Acer	8	500	2.3	55900
286414	hp	4	1000	1.8	37900
286713	DELL	8	2000	1.8	60900
287176	MSI	4	2000	1.8	40900
287621	Apple	16	500	1.8	113900
287941	DELL	8	500	3	80900
288046	DELL	16	2000	2.3	77900
288093	Acer	4	1000	3.2	79900
288116	Toshiba	8	1000	3	64900
288123	DELL	16	2000	3	99900
288224	Apple	16	500	1.8	111900
288285	hp	8	1000	1.8	43900
288422	Microsoft	4	500	1.8	34900
288570	Samsung	4	1000	2.5	56900
288575	MSI	4	2000	1.8	43900
288640	Toshiba	8	1000	2.5	54900
288758	MSI	4	2000	3.2	75900
288848	Microsoft	8	500	3.2	81900
288865	MSI	8	2000	2.5	60900
289225	HP	8	1000	3	62900
289315	HP	4	1000	3.2	73900
289381	Microsoft	8	1000	2.3	44900
289472	Dell	4	2000	2.5	71900
289491	DELL	4	1000	3.2	85900
289568	Apple	16	2000	3	144900
289599	Toshiba	8	500	2.5	54900
290374	asus	4	1000	3	63900
290821	Acer	4	2000	1.8	42900
290906	Asus	8	2000	3.2	82900
291055	Apple	8	2000	1.8	113900
291157	Acer	16	2000	1.8	54900
291180	MSI	16	2000	2.5	59900
291487	Apple	16	2000	3.2	154900
291552	Microsoft	8	2000	3	71900
292612	hp	4	2000	2.3	51900
292646	HP	4	1000	3	58900
292702	Microsoft	8	1000	2.5	64900
293064	Acer	4	1000	2.5	49900
293125	Asus	4	1000	1.8	30900
293158	Toshiba	4	500	3.2	59900
293173	hp	8	2000	1.8	53900
293280	Acer	16	2000	2.3	60900
293313	Acer	4	1000	1.8	40900
293503	MSI	4	1000	1.8	31900
293514	Microsoft	16	500	3	71900
293694	DELL	8	500	3	82900
293937	hp	8	1000	3.2	78900
294352	Toshiba	8	500	3.2	76900
294400	MSI	16	2000	3	85900
294595	Microsoft	4	2000	1.8	40900
294754	unknown	4	2000	2.5	68900
294832	Asus	8	2000	3.2	90900
295051	Dell	16	2000	3.2	101900
295062	Toshiba	8	2000	2.5	71900
295066	Acer	8	500	3	60900
295139	Acer	8	500	2.5	56900
295146	asus	16	1000	2.3	53900
295183	Microsoft	4	2000	3.2	85900
295279	hp	8	2000	2.3	53900
295539	DELL	8	2000	2.5	80900
295648	Asus	8	1000	1.8	44900
295694	Asus	16	1000	3.2	81900
295760	asus	16	2000	3	74900
295820	DELL	4	1000	2.3	63900
295936	Lenovo	16	2000	2.3	49900
296385	Acer	8	500	1.8	30900
296493	asus	16	2000	2.3	52900
296555	Samsung	16	1000	1.8	40900
296822	Microsoft	16	2000	1.8	59900
297075	asus	4	1000	3.2	71900
297216	Dell	8	1000	1.8	68900
297349	DELL	4	500	1.8	50900
297389	Acer	8	2000	2.3	61900
297389	Acer	8	2000	2.3	61900
297414	Toshiba	8	2000	1.8	46900
297418	Dell	16	500	3	90900
297665	DELL	4	500	3	75900
297722	Apple	4	2000	2.3	109900
297755	asus	8	1000	3	66900
297857	Microsoft	8	2000	2.3	53900
298253	Samsung	16	2000	2.3	62900
298266	HP	8	1000	2.5	56900
298418	MSI	4	500	3.2	70900
298452	HP	4	2000	1.8	37900
298664	Microsoft	16	500	2.5	62900
298872	asus	16	1000	3.2	90900
298945	Acer	16	500	3	66900
299012	asus	16	500	1.8	45900
299221	DELL	8	2000	2.3	70900
299236	Samsung	8	2000	3.2	80900
299407	DELL	8	500	1.8	57900
299463	Apple	4	500	3	124900
299631	HP	16	500	2.3	53900
299651	Dell	16	1000	3	91900
299724	Toshiba	4	2000	1.8	48900
299731	Samsung	16	500	1.8	44900
299847	HP	8	1000	3	60900
299879	asus	4	2000	1.8	40900
299923	Apple	16	1000	3.2	145900
300075	Asus	16	500	3	75900
300476	asus	16	500	2.5	60900
300506	Toshiba	4	500	1.8	35900
300507	unknown	8	500	2.5	70900
301055	Lenovo	8	2000	3	57900
301157	Microsoft	4	1000	3.2	69900
301320	asus	8	2000	2.5	57900
301443	HP	8	1000	2.5	57900
301444	hp	4	2000	1.8	42900
301470	Dell	8	2000	3	93900
301473	MSI	8	1000	1.8	43900
301585	hp	16	1000	3	71900
301880	Lenovo	4	2000	2.5	38900
301959	Samsung	16	2000	3.2	87900
302038	DELL	16	2000	2.5	81900
302176	DELL	4	500	3.2	85900
302183	MSI	8	500	1.8	44900
302656	Samsung	4	2000	1.8	43900
303127	MSI	4	1000	1.8	37900
303138	Asus	16	1000	1.8	46900
303253	MSI	4	2000	3	68900
303454	asus	8	1000	2.3	45900
303481	Microsoft	4	1000	2.3	47900
303802	unknown	16	1000	3	71900
304455	Apple	8	500	2.5	119900
304767	Microsoft	4	2000	3.2	70900
304961	Dell	4	500	1.8	50900
305183	asus	4	2000	3.2	86900
305234	Lenovo	16	1000	2.3	48900
305347	Acer	8	500	2.3	54900
305753	asus	8	1000	3.2	82900
305804	Acer	4	500	3	57900
305961	Asus	16	500	2.5	61900
306219	Acer	16	2000	3	74900
306295	Lenovo	8	1000	3	58900
306295	Lenovo	8	1000	3	58900
306349	Lenovo	16	500	3	63900
306349	Lenovo	16	500	3	63900
306479	MSI	4	1000	2.5	56900
306896	Lenovo	4	1000	3	53900
306966	asus	4	500	2.5	47900
307056	MSI	8	1000	1.8	33900
307259	Dell	16	2000	2.5	80900
307527	Dell	16	500	3	90900
307708	hp	4	500	3	53900
307842	HP	8	2000	2.5	65900
308240	HP	4	2000	2.3	45900
308252	hp	8	2000	3.2	82900
308318	DELL	16	2000	3.2	112900
308476	Apple	8	2000	3.2	147900
309013	Dell	4	1000	2.3	61900
309059	Dell	8	2000	3.2	97900
309099	Dell	16	2000	2.3	74900
309226	Lenovo	16	500	2.5	47900
309634	Microsoft	8	1000	3.2	79900
309694	MSI	4	2000	2.5	60900
309844	hp	16	500	2.3	56900
309888	Toshiba	16	500	3.2	83900
309945	Samsung	4	2000	3.2	72900
310200	Toshiba	4	2000	1.8	41900
310560	Asus	4	1000	1.8	39900
310643	Dell	4	1000	3.2	86900
310700	Asus	16	500	2.5	61900
310894	Microsoft	8	1000	3	71900
311581	Toshiba	16	500	3.2	80900
311658	Asus	4	1000	2.3	35900
311663	MSI	16	500	3	73900
311680	HP	16	500	3	72900
312643	HP	4	2000	3	68900
312822	hp	4	2000	3	69900
312834	Apple	16	2000	3	141900
312963	Lenovo	4	500	2.3	26900
312999	HP	8	500	3	62900
313004	Lenovo	8	1000	1.8	29900
313050	MSI	16	2000	3	80900
313581	Toshiba	8	2000	2.3	58900
313582	Dell	4	2000	3	76900
313645	Microsoft	16	1000	3.2	83900
313670	Toshiba	4	1000	2.3	46900
313974	HP	16	500	2.3	54900
314058	Lenovo	8	1000	3	49900
314101	Dell	8	500	3	87900
314129	Samsung	4	2000	1.8	39900
314342	Lenovo	8	1000	3.2	65900
314872	Apple	16	500	3	132900
314905	MSI	8	500	1.8	43900
314908	Apple	4	1000	1.8	102900
314967	Microsoft	16	500	2.3	55900
315119	Microsoft	16	500	1.8	47900
315149	Microsoft	16	1000	2.3	56900
315327	Apple	8	1000	3	137900
315359	Apple	4	1000	2.5	116900
315487	Microsoft	4	2000	2.3	48900
315667	unknown	8	500	1.8	40900
315700	DELL	16	1000	2.3	79900
315807	Acer	8	500	2.3	54900
316232	Toshiba	8	500	2.5	56900
316383	Microsoft	8	2000	2.5	66900
316774	Lenovo	4	2000	2.5	41900
316839	Dell	4	500	3.2	86900
316997	Microsoft	4	2000	2.3	56900
317114	Asus	16	1000	1.8	51900
317895	Samsung	16	1000	2.5	59900
318308	DELL	16	500	2.5	71900
318322	HP	16	2000	1.8	60900
318339	Samsung	4	2000	3.2	73900
318343	Asus	16	2000	2.5	73900
318508	DELL	16	1000	2.5	79900
318739	Lenovo	16	2000	3	61900
319012	MSI	4	500	3.2	65900
319359	Microsoft	16	2000	3.2	80900
319644	Apple	16	500	1.8	107900
319663	Toshiba	16	1000	3.2	81900
319670	hp	8	2000	2.5	58900
319698	DELL	4	2000	1.8	57900
319754	Lenovo	8	2000	3	54900
320461	Lenovo	16	500	3	58900
320518	asus	16	2000	3	74900
320647	Toshiba	16	2000	2.5	68900
320708	MSI	8	500	2.5	58900
320812	hp	4	2000	2.5	57900
320906	Apple	16	2000	3	141900
321085	Apple	16	1000	2.3	123900
321099	MSI	8	1000	2.5	53900
321345	HP	8	2000	2.5	58900
321817	DELL	4	1000	3	78900
321910	Lenovo	4	2000	1.8	25900
322142	Apple	4	2000	3	129900
322313	Acer	8	1000	1.8	40900
322350	Samsung	4	2000	1.8	41900
322362	Samsung	16	1000	3.2	84900
322502	Samsung	4	2000	2.3	51900
322722	Microsoft	4	500	3.2	73900
322807	HP	8	2000	1.8	42900
322807	HP	8	2000	1.8	42900
323146	Toshiba	8	1000	1.8	40900
323308	Apple	8	500	3	128900
323317	Acer	8	1000	2.3	51900
323499	Apple	4	500	3.2	131900
323581	Apple	8	1000	3.2	136900
323943	HP	16	500	3	71900
323995	MSI	4	500	2.3	41900
324034	Asus	4	500	2.3	42900
324113	HP	8	2000	3.2	90900
324228	Asus	4	2000	2.3	52900
324324	MSI	16	1000	2.5	67900
324355	hp	16	500	3.2	84900
324369	Dell	4	2000	3	85900
324635	Microsoft	16	500	2.3	56900
324639	Lenovo	4	1000	2.3	28900
324725	Acer	8	2000	2.3	53900
324745	hp	8	500	3	71900
324798	Toshiba	16	1000	2.3	60900
324845	Dell	4	1000	3	76900
325392	Toshiba	4	1000	2.3	37900
325437	Samsung	16	2000	2.5	70900
325950	MSI	8	2000	3	64900
325959	hp	16	1000	2.3	51900
326038	Toshiba	8	2000	1.8	47900
326691	MSI	4	500	2.5	47900
326722	hp	4	500	3.2	67900
326825	HP	4	2000	3	75900
326831	Microsoft	8	2000	1.8	53900
326948	HP	4	500	1.8	36900
327225	Dell	4	2000	3	87900
327268	HP	8	2000	3	68900
327294	Asus	16	2000	3.2	85900
327302	Dell	8	500	3	78900
327398	Samsung	16	500	1.8	43900
327467	Toshiba	4	500	3.2	69900
327487	Toshiba	16	1000	2.3	62900
327544	asus	4	500	3.2	58900
327569	Toshiba	16	2000	3	81900
327672	Samsung	8	1000	2.3	53900
327756	Microsoft	8	500	3	59900
328009	asus	16	500	2.5	62900
328038	Asus	4	1000	1.8	42900
328069	HP	8	2000	1.8	45900
328069	HP	8	2000	1.8	45900
328194	Acer	8	2000	3	68900
328245	Dell	8	1000	2.3	64900
328292	Asus	16	2000	2.5	60900
328630	Asus	16	2000	2.3	62900
328782	Dell	4	500	3.2	86900
328806	hp	16	2000	1.8	51900
329030	Toshiba	4	2000	2.3	48900
329222	Asus	4	1000	1.8	40900
329338	DELL	4	500	3.2	80900
329587	asus	4	500	3.2	70900
329601	Asus	16	2000	1.8	57900
329619	Samsung	16	500	2.5	59900
329788	DELL	16	1000	2.5	75900
329917	Apple	8	500	2.3	112900
329974	DELL	16	1000	3.2	96900
329986	unknown	16	500	3.2	83900
330174	Acer	4	1000	3.2	75900
330424	Apple	8	500	2.5	115900
330755	Dell	4	2000	2.3	63900
331107	HP	8	500	2.3	51900
331382	hp	8	2000	3	75900
331451	DELL	4	500	3	77900
331638	DELL	16	2000	3	97900
331643	Lenovo	16	1000	2.3	40900
331740	MSI	4	1000	3	58900
331762	DELL	4	1000	3.2	85900
331821	Dell	4	2000	2.3	63900
331897	Dell	4	1000	1.8	55900
332027	MSI	8	2000	2.5	67900
332126	Asus	4	2000	3.2	76900
332261	HP	4	1000	3	58900
332490	Lenovo	4	500	1.8	15900
332683	Acer	8	1000	2.5	67900
332987	Toshiba	4	1000	3	63900
333317	HP	4	1000	2.3	43900
333535	HP	16	500	2.5	64900
333563	Lenovo	16	500	2.3	43900
333589	Samsung	4	500	1.8	32900
333781	Apple	4	500	2.5	119900
333919	Microsoft	4	2000	1.8	43900
333997	HP	8	1000	3	67900
334185	Apple	8	2000	2.3	119900
334221	Toshiba	8	1000	1.8	41900
334241	Acer	8	500	2.3	46900
334287	hp	4	1000	2.3	39900
334496	Apple	16	2000	3	143900
334512	Samsung	4	1000	2.5	56900
334605	hp	16	500	3	62900
334610	HP	8	2000	2.3	49900
335383	Acer	4	1000	2.5	60900
335555	Dell	16	1000	3	90900
335629	asus	4	2000	3.2	79900
335880	HP	4	2000	3.2	75900
335888	Acer	16	500	2.3	50900
335888	Acer	16	500	2.3	50900
336046	Apple	16	2000	1.8	115900
336062	MSI	8	2000	3.2	76900
336146	Acer	4	1000	2.3	47900
336649	Microsoft	8	500	1.8	40900
336737	MSI	16	2000	2.5	74900
336857	MSI	16	500	2.5	60900
336887	Acer	4	2000	2.5	50900
336972	Dell	4	500	3.2	84900
336989	Samsung	8	2000	2.5	64900
337195	Dell	8	2000	3	90900
337493	Samsung	8	500	3.2	79900
337565	Lenovo	16	1000	2.5	47900
337626	Samsung	4	2000	1.8	44900
337690	asus	16	500	2.5	64900
337690	asus	16	500	2.5	64900
337792	Acer	8	500	2.3	43900
337849	Apple	8	1000	1.8	106900
337896	Samsung	8	2000	1.8	48900
337964	Asus	4	500	3.2	70900
337973	Dell	16	2000	2.5	88900
338033	Toshiba	4	500	2.3	46900
338213	Lenovo	16	2000	3.2	74900
338214	Lenovo	16	500	2.3	38900
338220	Apple	4	2000	1.8	105900
338239	MSI	4	1000	1.8	35900
338239	MSI	4	1000	1.8	35900
338254	Microsoft	8	1000	1.8	50900
338334	Microsoft	16	2000	3	84900
338361	HP	8	1000	3.2	75900
338379	asus	4	500	3	57900
338523	Lenovo	16	2000	1.8	32900
338602	Microsoft	8	500	2.3	48900
338637	Microsoft	8	2000	3.2	83900
338638	HP	4	2000	3	62900
338698	MSI	4	1000	3	63900
338812	Asus	16	500	3.2	77900
339098	Lenovo	16	2000	3	58900
339212	Dell	4	2000	2.5	70900
339274	Microsoft	16	2000	3	81900
339487	MSI	16	2000	2.5	69900
339568	Apple	16	2000	2.3	128900
339597	Lenovo	8	500	2.3	35900
339957	asus	4	2000	3.2	82900
340254	Lenovo	4	2000	3.2	59900
340482	Acer	8	500	1.8	41900
340576	Lenovo	16	1000	2.5	51900
340832	Acer	8	1000	3.2	76900
340832	Acer	8	1000	3.2	76900
340924	hp	16	2000	2.3	63900
341176	Apple	4	1000	2.3	104900
341317	asus	16	2000	1.8	52900
341452	Microsoft	16	1000	2.5	64900
341720	Toshiba	8	500	2.3	51900
341789	HP	4	2000	3.2	75900
341800	Lenovo	4	1000	2.3	36900
341946	Microsoft	8	1000	2.3	56900
342290	MSI	16	2000	3.2	87900
342340	Apple	16	2000	2.5	131900
342561	asus	16	2000	2.5	71900
342804	DELL	16	1000	3	95900
342804	DELL	16	1000	3	95900
342850	Acer	4	2000	2.5	54900
342910	HP	4	500	2.3	36900
343077	DELL	16	1000	2.3	73900
343099	Samsung	4	2000	3.2	81900
343151	Lenovo	16	1000	2.3	40900
343245	Asus	4	1000	3	63900
343409	HP	4	1000	3.2	73900
343604	Microsoft	8	500	3	65900
343749	asus	4	1000	2.3	53900
343804	Toshiba	8	1000	3	72900
343879	unknown	16	500	2.5	60900
344178	Acer	8	500	2.5	57900
344345	Samsung	8	500	1.8	39900
344394	Dell	4	500	3.2	83900
344399	Asus	4	500	1.8	40900
344446	Microsoft	4	1000	3.2	73900
344565	Asus	16	1000	2.3	55900
344932	DELL	4	2000	3	80900
345009	asus	8	1000	3.2	81900
345062	Asus	4	1000	3.2	73900
345228	Microsoft	4	1000	3.2	69900
345262	Lenovo	4	2000	3.2	57900
345288	Microsoft	16	500	2.5	56900
345347	Microsoft	4	2000	3.2	77900
345374	Toshiba	8	500	1.8	42900
345407	MSI	16	1000	2.5	68900
345524	MSI	16	500	2.3	50900
345623	asus	16	500	2.5	65900
346167	hp	8	500	3	68900
346277	DELL	4	2000	1.8	59900
346318	Dell	16	2000	1.8	67900
346318	Dell	16	2000	1.8	67900
346948	Asus	8	1000	3.2	77900
346987	Microsoft	16	1000	3	80900
347600	Asus	16	2000	3.2	88900
347669	Lenovo	8	1000	2.3	33900
347731	DELL	8	2000	2.3	74900
